Program ID,Lines of Code,Executable Lines,Comment Lines,McCabe Complexity,Cognitive Complexity,Halstead Volume,Halstead Difficulty,Maintainability Index,Technical Debt Hours,Parse Confidence
sl910,0,0,0,20,22,0,0,100,0,0
st010,0,0,0,12,12,0,0,100,0,0
xl150,0,0,0,11,11,0,0,100,0,0
sl920,0,0,0,10,9,0,0,100,0,0
st020,0,0,0,10,9,0,0,100,0,0
sl810,0,0,0,9,9,0,0,100,0,0
sl810,0,0,0,9,9,0,0,100,0,0
sl930,0,0,0,9,10,0,0,100,0,0
plautogenMT,0,0,0,8,8,0,0,100,0,0
plinvoiceMT,0,0,0,8,8,0,0,100,0,0
slautogenMT,0,0,0,8,8,0,0,100,0,0
slinvoiceMT,0,0,0,8,8,0,0,100,0,0
gl030,0,0,0,6,7,0,0,100,0,0
otm3MT,0,0,0,6,7,0,0,100,0,0
otm5MT,0,0,0,6,7,0,0,100,0,0
sl190,0,0,0,6,5,0,0,100,0,0
sl950,0,0,0,6,5,0,0,100,0,0
st040,0,0,0,6,5,0,0,100,0,0
sys002,0,0,0,6,6,0,0,100,0,0
acas010,0,0,0,5,5,0,0,100,0,0
acas012,0,0,0,5,5,0,0,100,0,0
delfolioMT,0,0,0,5,6,0,0,100,0,0
deliveryMT,0,0,0,5,6,0,0,100,0,0
dfltMT,0,0,0,5,6,0,0,100,0,0
finalMT,0,0,0,5,6,0,0,100,0,0
glpostingMT,0,0,0,5,6,0,0,100,0,0
irs060,0,0,0,5,6,0,0,100,0,0
irsdfltMT,0,0,0,5,6,0,0,100,0,0
irsnominalMT,0,0,0,5,6,0,0,100,0,0
irspostingMT,0,0,0,5,4,0,0,100,0,0
nominalMT,0,0,0,5,6,0,0,100,0,0
purchMT,0,0,0,5,6,0,0,100,0,0
salesMT,0,0,0,5,6,0,0,100,0,0
sl110,0,0,0,5,4,0,0,100,0,0
sldelinvnosMT,0,0,0,5,6,0,0,100,0,0
slpostingMT,0,0,0,5,6,0,0,100,0,0
st060,0,0,0,5,5,0,0,100,0,0
sys4MT,0,0,0,5,6,0,0,100,0,0
systemMT,0,0,0,5,6,0,0,100,0,0
