program_id,mccabe_complexity,cognitive_complexity,lines_of_code,technical_debt_hours
ACAS,2,1,0,0
ACAS-Sysout,2,1,0,0
acas-get-params,10,15,0,0
acas000,18,28,0,0
acas004,26,43,0,0
acas005,25,41,0,0
acas006,18,27,0,0
acas007,18,27,0,0
acas008,19,29,0,0
acas010,15,20,0,0
acas011,28,47,0,0
acas012,27,44,0,0
acas013,25,41,0,0
acas014,18,27,0,0
acas015,25,41,0,0
acas016,26,43,0,0
acas017,18,27,0,0
acas019,25,41,0,0
acas022,26,43,0,0
acas023,18,27,0,0
acas026,26,43,0,0
acas029,25,41,0,0
acas030,26,43,0,0
acas032,18,27,0,0
acasconvert1,5,2,0,0
acasconvert1,5,2,0,0
acasconvert2,2,1,0,0
acasconvert3,5,2,0,0
acasirsub1,27,45,0,0
acasirsub3,11,14,0,0
acasirsub4,18,27,0,0
acasirsub5,11,14,0,0
analLD,7,1,0,0
analMT,27,31,0,0
analRES,3,1,0,0
analUNL,3,1,0,0
auditLD,7,1,0,0
auditLD,7,1,0,0
auditMT,30,33,0,0
auditRES,3,1,0,0
auditUNL,3,1,0,0
cobdump,3,1,0,0
create-system-dat,1,0,0,0.5
delfolioMT,31,34,0,0
delfolioRES,3,1,0,0
delfolioUNL,3,1,0,0
deliveryLD,7,1,0,0
deliveryMT,31,34,0,0
deliveryRES,3,1,0,0
deliveryUNL,3,1,0,0
dfltLD,7,1,0,0
dfltMT,19,18,0,0
fhlogger,2,1,0,0
finalLD,7,1,0,0
finalMT,19,18,0,0
general,2,1,0,0
gl000,4,1,0,0
gl020,4,1,0,0
gl030,10,5,0,0
gl050,4,1,0,0
gl051,6,2,0,0
gl060,4,1,0,0
gl070,3,1,0,0
gl071,2,1,0,0
gl072,3,1,0,0
gl080,3,2,0,0
gl090,4,1,0,0
gl090a,3,1,0,0
gl090b,3,1,0,0
gl100,2,1,0,0
gl105,3,1,0,0
gl120,4,1,0,0
glbatchLD,7,1,0,0
glbatchMT,30,33,0,0
glbatchRES,3,1,0,0
glbatchUNL,3,1,0,0
glpostingLD,7,1,0,0
glpostingMT,31,34,0,0
invoiceRES,3,1,0,0
invoiceUNL,3,1,0,0
irs,27,45,0,0
irs000,3,1,0,0
irs010,8,3,0,0
irs020,6,3,0,0
irs030,7,3,0,0
irs040,4,1,0,0
irs050,7,1,0,0
irs055,3,1,0,0
irs060,10,4,0,0
irs065,3,1,0,0
irs070,8,1,0,0
irs080,3,1,0,0
irs085,3,1,0,0
irs090,3,1,0,0
irsdfltLD,7,1,0,0
irsdfltMT,18,16,0,0
irsdfltRES,3,1,0,0
irsdfltUNL,3,1,0,0
irsfinalLD,7,1,0,0
irsfinalMT,17,15,0,0
irsfinalRES,3,1,0,0
irsfinalUNL,3,1,0,0
irsnominalLD,7,1,0,0
irsnominalMT,34,36,0,0
irsnominalRES,3,1,0,0
irsnominalUNL,3,1,0,0
irsnominalUNL2,3,1,0,0
irspostingLD,7,1,0,0
irspostingMT,31,34,0,0
irspostingRES,3,1,0,0
irspostingUNL,3,1,0,0
irsubp,2,1,0,0
maps01,2,1,0,0
maps04,3,2,0,0
maps09,4,1,0,0
nominalLD,7,1,0,0
nominalMT,34,36,0,0
nominalRES,3,1,0,0
nominalUNL,3,1,0,0
otm3LD,7,1,0,0
otm3MT,35,37,0,0
otm3RES,3,1,0,0
otm3UNL,3,1,0,0
otm5LD,7,1,0,0
otm5MT,35,37,0,0
otm5RES,3,1,0,0
otm5UNL,3,1,0,0
paymentsLD,7,1,0,0
paymentsMT,36,33,0,0
paymentsRES,3,1,0,0
paymentsUNL,3,1,0,0
pl000,4,1,0,0
pl010,5,1,0,0
pl015,5,1,0,0
pl020,8,3,0,0
pl025,3,1,0,0
pl030,4,1,0,0
pl040,3,1,0,0
pl050,5,1,0,0
pl055,3,1,0,0
pl060,8,1,0,0
pl070,6,3,0,0
pl080,4,1,0,0
pl085,3,1,0,0
pl090,3,2,0,0
pl095,6,3,0,0
pl100,4,1,0,0
pl115,4,2,0,0
pl120,8,3,0,0
pl130,4,1,0,0
pl140,5,2,0,0
pl160,6,3,0,0
pl165,2,1,0,0
pl170,4,1,0,0
pl180,2,1,0,0
pl190,4,1,0,0
pl800,2,1,0,0
pl900,3,1,0,0
pl910,4,1,0,0
pl920,2,1,0,0
pl930,4,1,0,0
pl940,8,1,0,0
pl950,4,1,0,0
pl960,3,1,0,0
plautogenLD,7,1,0,0
plautogenMT,45,39,0,0
plautogenRES,3,1,0,0
plautogenUNL,3,1,0,0
plinvoiceLD,7,1,0,0
plinvoiceMT,45,39,0,0
postingRES,3,1,0,0
postingUNL,3,1,0,0
purchLD,7,1,0,0
purchMT,31,34,0,0
purchase,2,1,0,0
sales,7,1,0,0
salesLD,7,1,0,0
salesMT,31,34,0,0
salesRES,3,1,0,0
salesUNL,3,1,0,0
sl000,4,1,0,0
sl010,5,1,0,0
sl020,5,1,0,0
sl050,6,2,0,0
sl055,3,1,0,0
sl060,8,1,0,0
sl070,6,3,0,0
sl080,4,1,0,0
sl085,3,1,0,0
sl090,3,2,0,0
sl095,6,3,0,0
sl100,4,1,0,0
sl110,9,4,0,0
sl115,4,2,0,0
sl120,7,2,0,0
sl130,4,1,0,0
sl140,5,2,0,0
sl160,6,3,0,0
sl165,2,1,0,0
sl170,4,1,0,0
sl180,4,1,0,0
sl190,8,5,0,0
sl200,4,1,0,0
sl800,2,1,0,0
sl810,18,8,0,0
sl810,18,8,0,0
sl820,5,1,0,0
sl820,5,1,0,0
sl830,7,3,0,0
sl830,7,3,0,0
sl900,2,1,0,0
sl910,31,19,0,0
sl920,19,9,0,0
sl930,22,8,0,0
sl940,6,2,0,0
sl950,17,5,0,0
sl960,3,1,0,0
sl970,6,2,0,0
slautogenLD,7,1,0,0
slautogenMT,45,39,0,0
slautogenRES,3,1,0,0
slautogenUNL,3,1,0,0
sldelinvnosLD,7,1,0,0
sldelinvnosMT,31,34,0,0
sldelinvnosRES,3,1,0,0
sldelinvnosUNL,3,1,0,0
slinvoiceLD,7,1,0,0
slinvoiceMT,45,39,0,0
slpostingLD,7,1,0,0
slpostingMT,31,34,0,0
slpostingRES,3,1,0,0
slpostingUNL,3,1,0,0
st000,4,1,0,0
st010,23,11,0,0
st020,22,9,0,0
st030,22,17,0,0
st040,7,5,0,0
st050,4,1,0,0
st060,9,4,0,0
stock,7,1,0,0
stockMT,30,37,0,0
stockRES,3,1,0,0
stockUNL,3,1,0,0
stockconvert2,2,1,0,0
stockconvert3,2,1,0,0
sys002,13,5,0,0
sys4LD,8,1,0,0
sys4MT,19,20,0,0
systemMT,21,24,0,0
takeon-1,5,1,0,0
takeon-2,5,1,0,0
valueLD,7,1,0,0
valueMT,31,34,0,0
valueRES,3,1,0,0
valueUNL,3,1,0,0
xl150,33,48,0,0
xl160,2,1,0,0
